skill_name,skill_id
缺陷管理,274
JS,275
线上客服,276
培训评估,277
硬件测试,278
数据透视表,279
产品信息维护和更新,280
房屋验交,281
抖音运营,282
日语,283
跟卖自建,284
团队管理,285
电话回访,286
内容质量评估,287
渠道开发策略,288
广告投放优化,289
办公系统软件操作,290
人力资源管理,291
ERP,292
客服运营管理,293
日语N2级以上,294
专利撰写,295
渠道拓展,296
数据分析,297
谈判技巧,298
绩效管理,299
在线咨询工具,300
战略规划,301
文件管理,302
市场信息收集,303
客户投诉处理,304
证据材料整理,305
培训,306
数据清洗,307
考勤管理,308
招投标法,309
流量引入,310
风险识别,311
法律研究,312
业务拓展,313
风险管理,314
现场安装督导,315
调查取证,316
数据库管理,317
专利无效,318
社保公积金办理,319
薪酬核算,320
法律检索,321
产品调优,322
英语听说读写,323
大数据分析,324
测试数据分析,325
专利检索,326
供应商管理,327
专利翻译,328
现场管理,329
推广成本管理,330
调解,331
金蝶,332
人员管理,333
数据库设计,334
游戏运营,335
自动化测试框架,336
客户回访,337
MSA,338
渠道开拓,339
动物实验,340
技术支持,341
网络搜索,342
人力资源战略规划,343
数据统计处理,344
Google广告投放,345
京东推广渠道和工具-快车、触点、京挑客等,346
市场推广,347
信息流广告投放,348
基因编辑,349
团队架构搭建,350
Oracle,351
商户管理,352
Tableau,353
专利申请,354
客户接待,355
社交媒体营销,356
机械设计,357
工伤赔偿,358
游戏陪练,359
汽车机械基础,360
法律英语,361
Photoshop,362
运行管理,363
电商运营,364
Office办公软件,365
调试,366
项目拓展,367
选题策划,368
Word,369
网络销售,370
客户关系管理,371
Spark,372
文字功底,373
排班管理,374
图像处理,375
市场洞察力,376
笔译,377
培训课程设计,378
专利诉讼,379
案源开拓,380
CRM系统,381
分子生物学,382
人事政策流程执行,383
Proofreading,384
社交媒体运营,385
产品规划,386
TS16949,387
SEO优化,388
C,389
ERP实施或运维,390
方法学研究,391
版本更新,392
SAS,393
面试安排,394
档案收集,395
诉讼,396
细胞生物学,397
设备调试,398
Office,399
法律文书写作,400
测试报告,401
售后服务,402
法律策略制定,403
爆款打造,404
财务知识,405
民商法,406
电商渠道运营,407
WMS实施或运维,408
数据分析工具使用,409
测试用例设计,410
课程研发,411
JavaScript,412
Python,413
文字编辑,414
内容审核,415
教学研究,416
阿里巴巴国际站运营,417
SQL数据库,418
翻译,419
英语,420
Microsoft Office操作,421
应收账款管理,422
微服务,423
品牌运营,424
JIRA,425
备品备件计划编制,426
信息比对,427
证据整理,428
法律知识,429
文件归档,430
CA电子投标平台系统,431
活动策划,432
客服流程,433
供应商资源整合,434
文案策划,435
示波器,436
售后服务流程,437
Go,438
稳定性测试,439
客服管理,440
数据标注,441
弱电技术,442
市场和产品定位分析,443
系统调试,444
简历筛选,445
故障处理,446
统计不良品数据,447
档案装订,448
报告撰写,449
渠道开发,450
工业互联网,451
接口测试,452
内容策划,453
订单处理,454
PPT,455
档案数字化技术,456
售后维护,457
微博运营,458
供应链管理,459
售中技术支持,460
法律文件起草,461
科研项目管理,462
产品开发,463
R,464
测试计划制定,465
招聘渠道拓展,466
用友,467
会计,468
日语N2及以上,469
网络知识,470
工伤认定,471
APQP,472
工伤鉴定,473
文字语言表达,474
用户运营,475
电商平台运营,476
Hive,477
Angular,478
运行策略优化,479
生物化学,480
京东广告平台操作,481
分析产品质量数据,482
数据化分析工具,483
交互设计,484
培训管理,485
库存管理,486
机械制造,487
政策解读,488
投诉处理,489
法律培训,490
关键词优化,491
人力资源知识,492
销售数据分析,493
成本核算,494
行业研究,495
活动策划与执行,496
招聘计划制定,497
新媒体运营,498
投放优化,499
8D,500
数据分析与统计,501
法律文书撰写,502
信息搜集,503
留学申请,504
客户维护,505
公文写作,506
登记产品信息管理,507
版本管理,508
中英文写作,509
市场分析,510
销售库存数据分析,511
Spring,512
广告优化,513
法律文书起草,514
HTML,515
房产信息维护,516
制度流程优化,517
CSS,518
庭审准备,519
电话外呼,520
品牌推广,521
海外市场开拓,522
深度学习,523
PH计,524
业务开拓,525
PPAP,526
MFC,527
竞争对手分析,528
熟练使用办公软件,529
文本制作,530
Redis,531
风控意识,532
Hadoop,533
ERP系统,534
专利咨询,535
检测设备操作,536
写作能力,537
Amazon平台运营,538
Axure,539
政策研究,540
Xmind,541
测试报告编写,542
亚马逊平台操作,543
专利挖掘与布局,544
软件测试,545
今日头条,546
政府采购法,547
招聘管理,548
广点通,549
MBO,550
审稿,551
办公网络维护,552
外贸流程,553
SEO,554
制定测试计划,555
地推,556
档案维护,557
设备维护,558
商务谈判,559
电子商务,560
尽职调查,561
办公软件,562
质量管理体系,563
数据分析和总结归纳,564
安防系统,565
法律文件审查,566
化学及仪器检验方法,567
流程优化,568
ISO9001,569
绩效考核,570
内容安全审查,571
产品线分析,572
视频剪辑,573
产品推广,574
英语能力,575
销售技巧,576
产品生命周期管理,577
检验和测试,578
代理商培训与考核,579
微信及网络使用,580
商务接待,581
质量管理工具,582
日语N1,583
广告投放,584
环境测试,585
电话沟通,586
金融分析,587
ROI优化,588
MES维护,589
Selenium,590
Excel函数,591
法律尽职调查,592
质量控制,593
原型设计,594
客户档案管理,595
培训体系搭建,596
会议纪要,597
绩效考核协助,598
MES软件二次开发,599
8D报告,600
数据录入与分析,601
数据挖掘,602
同声传译,603
社会保险管理,604
数据库,605
细胞培养,606
客户开发与维护,607
Project,608
公司法,609
合同法,610
直通车,611
安全测试,612
ETL工具,613
会开车,614
熟悉电脑键盘打字,615
执行力,616
SEM,617
PS,618
KPI,619
案例检索,620
员工辅导,621
自动化,622
C#,623
英文书写,624
办公软件使用,625
论坛推广,626
专利预警,627
销售提案,628
法律分析,629
融资租赁,630
促销活动策划,631
用户增长,632
竞品分析,633
React,634
人工智能,635
专利挖掘,636
劳动合同管理,637
独立办案,638
